name,department,category,monthly_salary,annual_salary
Bob,Recruitment,HR,60000.0,720000.0
Charlie,Engineering,IT,70000.0,840000.0
David,Accounting,Finance,55000.0,660000.0
Frank,Recruitment,HR,80000.0,960000.0
Grace,Accounting,Finance,62000.0,744000.0
Henry,Engineering,IT,72000.0,864000.0
Ivy,Recruitment,HR,58000.0,696000.0
Jack,Accounting,Finance,67000.0,804000.0
Karen,Engineering,IT,53000.0,636000.0
Leo,Accounting,Finance,90000.0,1080000.0
Paul,Recruitment,HR,74000.0,888000.0
Quinn,Engineering,IT,63000.0,756000.0
Rachel,Accounting,Finance,69000.0,828000.0
Sam,Recruitment,HR,56000.0,672000.0
Tina,Engineering,IT,85000.0,1020000.0
Victor,Recruitment,HR,77000.0,924000.0
Wendy,Engineering,IT,61000.0,732000.0
Xander,Accounting,Finance,73000.0,876000.0
Yara,Recruitment,HR,52000.0,624000.0
Aaron,Accounting,Finance,68000.0,816000.0
Bella,Engineering,IT,59000.0,708000.0
Carlos,Recruitment,HR,65000.0,780000.0
Diana,Accounting,Finance,92000.0,1104000.0
Fiona,Recruitment,HR,63000.0,756000.0
George,Accounting,Finance,76000.0,912000.0
Ivan,Recruitment,HR,88000.0,1056000.0
Julia,Accounting,Finance,64000.0,768000.0
Kevin,Engineering,IT,71000.0,852000.0
Laura,Recruitment,HR,57000.0,684000.0
Mike,Accounting,Finance,82000.0,984000.0
Nina,Engineering,IT,55000.0,660000.0
